departement,territoire
02,Aisne : Bassin de Laon
12,Aveyron : TAS Villefranche de Rouergue - Decazeville
13,Bouches-du-Rhône : 5ème et 7ème arrondissements de Marseille
21,Côte d'Or : Beaune et Genlis
27,Eure : Louviers et Gisors
23,Creuse : Département
35,Ille-et-Vilaine : Redons-Vallons
44,Loire-Atlantique : Saint Nazaire; EDS Gare
45,Loiret : Montargis et rives du Loing
53,Mayenne : Zone Laval Ouest
59,Nord : Tourcoing
64,Pyrénées-Atlantique : Pau Ouest (Jurançon/ Bilières)
69,Métropole de Lyon : Givors / Grigny'
78,Yvelines : Saint Quentin en Yvelines
80,Somme : Pays du Coquelicot et de la Haute Somme
88,Vosges : Epinal
89,Yonne : Avallon Tonnerre
97,La Réunion : St Leu/Trois Bassins
