structure,territoire,siret
Emmaüs Défi,Paris,49486785600069
Aurore,Paris,77568497002059
CASVP,Paris,26750004902888
Rejoué,Paris,52364715400039
Emmaüs Coup de Main,Paris,41190781900022
Carton Plein,Paris,75232961500039
Les Enfants du Canal,Paris,49767330100030
FNDSA,Lyon,77564967600019
Association Tremplin - Le Grenier,Lyon,34327898200131
Armée du Salut,Lyon,43196860100010
Val'trions,Lyon,82124377100010
La Fondation AJD – Etablissement AJD MIRLY,Lyon,52247989800010
ABEJ,Lille,34156361700289
Eole,Lille,78370298800065
Madgala,Lille,35256076700019
Sauvegarde du Nord (La),Lille,77562467900780
ARI,Lille,43863675500029
FCP,Lille,77562520500098
Vit'Inser,Lille,80847781400053
ASBL,Nantes,78835472800099
OCEAN,Nantes,45153371500020
Association Trajet,Nantes,32873224300071
Association Trajet,Nantes,32873224300113
Jardin de Cocagne Nantais,Nantes,52954302700013
Oser Forêt Vivante,Nantes,33896088300043
la Brocante Verte,Nantes,89743767900029
EMU (Emmaüs Mundo),Strasbourg,48140791400037
J'Offre,Strasbourg,19672198900040
Vetis,Strasbourg,39834868000099
Savoir & Compétences,Strasbourg,47897787900020
Association Régie Urbaine (ARU),Charente,40262787100054
Carrefour Insertion Développement Initiatives Locales (CIDIL),Charente,39986426300039
Le Chantier d'à côté,Charente,90431817700014
CEDIF,Charente,40109057600018
Cassiopée,Charente,40218984900050
CSC Envol,Charente,38827778200024
FEDERATION ARMEE DU SALUT,Marseille,43196860100168
LIEUX PUBLICS,Marseille,32749253400042
PILOTINE,Marseille,80916351200027
REGIE SERVICE NORD LITTORAL,Marseille,34742733800020
RESTOS DU CŒUR,Marseille,79107860300028
RS13,Marseille,34953169900024
FRIP INSERTION,Marseille,84531396400015
13ATIPIK,Marseille,53866621500032
HPF,Marseille,77555867900079
Emergence-s,Rouen,77570180800062
Interm'Aide Emploi,Rouen,34472528800049
Brotonne ENVIRONNEMENT,Rouen,33488714800024
L’Ilôt,Somme,78475328700167
APREMIS,Somme,38488500000032
Les ASTELLES,Somme,41102590100017
La MAISONNEE,Somme,50474718900026
Prélude,Rennes,40160115800116
Emmaüs Hédé,Rennes,31168649700059
AIPR,Rennes,77774350100093
Etudes et chantiers,Rennes,33491247400121
Les Compagnons Bâtisseurs,Rennes,31545808399999
